Shape,ESD,CSF,rho_f,rho_p,Wt,Time,Distance,Timestep,Re_Calc,Cd_Calc
Film,0.001356902,0.0116751017316804,1042.6,1400,0.010667209923937,0.02,0.000181290010799968,0.0002,19.9449821577697,53.4498791251415
Film,0.001356902,0.0116751017316804,1050.3,1400,0.0104953313620755,0.02,0.000178193087904997,0.0002,19.1523444401616,53.6281380490735
Film,0.000625814,0.00928665958310461,1019.8,1400,0.00636052732116489,0.0112,6.0417587168851e-05,0.0002,5.87838593138658,75.4107304307869
Film,0.000625814,0.00928665958310461,1023.6,1400,0.00630970574241934,0.0112,5.99123648218129e-05,0.0002,5.76452874377579,75.5822902993615
Film,0.000625814,0.00928665958310461,1027.4,1400,0.00625896862257898,0.0112,5.94077341115231e-05,0.0002,5.65333017051433,75.755321773592
Film,0.000625814,0.00928665958310461,1035,1400,0.0061575057655477,0.0114,5.96283305594204e-05,0.0002,5.4328646912635,76.115560910526
Film,0.000625814,0.00928665958310461,1042.6,1400,0.00605618242570646,0.0114,5.85992271587889e-05,0.0002,5.22250122833217,76.4825742074074
Film,0.000625814,0.00928665958310461,1050.3,1400,0.00595315263699594,0.0114,5.75529599245542e-05,0.0002,5.01036769463647,76.8783538011436
Film,0.001096891,0.00634608923266282,1019.8,1400,0.00727912115112346,0.0126,7.77725909981383e-05,0.0002,11.7913116772234,100.921815994082
Film,0.001096891,0.00634608923266282,1023.6,1400,0.00722599823492045,0.0126,7.71679883591102e-05,0.0002,11.5709962480294,101.010281990992
Film,0.001096891,0.00634608923266282,1027.4,1400,0.00717290797328355,0.0126,7.65634968536789e-05,0.0002,11.3557293604249,101.099880588247
Film,0.001096891,0.00634608923266282,1035,1400,0.00706663304920613,0.0126,7.53530039378191e-05,0.0002,10.9283551548514,101.287672279408
Film,0.001096891,0.00634608923266282,1042.6,1400,0.00696062558931262,0.0128,7.55346713004404e-05,0.0002,10.5207348313006,101.480161076901
Film,0.001096891,0.00634608923266282,1050.3,1400,0.00685281994427118,0.0128,7.42836175403784e-05,0.0002,10.1090443132451,101.689290579548
