Shape,ESD,CSF,Wt,Wt_Meas,Time
Fragment,0.001553735,0.0879068192107053,0.0017297462863362,0.013368984,0.0144
Fragment,0.001254669,0.0443114415037606,0.000771283410761677,0.007533333,0.0066
Fragment,0.001543662,0.0793352663891255,0.00146739516347919,0.008774576,0.0122
Fragment,0.001756348,0.0722279299163795,0.0015302074779606,0.010498688,0.0126
Fragment,0.001273567,0.0489875807777533,0.000722984587951161,0.005050505,0.0064
Fragment,0.001340718,0.0683668199216447,0.00099087684974006,0.008067769,0.0084
Fragment,0.001460707,0.113655451426952,0.0015989586730215,0.009458571,0.0134
Fragment,0.001401742,0.082059449697783,0.00146438712048424,0.012746973,0.0122
Fragment,0.001333964,0.0403310903939104,0.0007143221558664,0.007447366,0.006
Fragment,0.001861531,0.107220069443889,0.00138920129159139,0.008333333,0.0116
Fragment,0.001665586,0.0456315373804487,0.00100688335251109,0.011255167,0.0082
Fragment,0.002097134,0.0898614867757904,0.00173824843434927,0.009708738,0.014
Fragment,0.001676401,0.0558038712491293,0.00102972746546535,0.011342228,0.0084
Fragment,0.001678548,0.0704714414095899,0.00109378365918829,0.007246084,0.009
Fragment,0.001949671,0.0512871107064204,0.00129740066935547,0.009470987,0.0104
Fragment,0.001758304,0.105668657626454,0.00186284965210975,0.016420361,0.0152
Fragment,0.001528301,0.0483983615783228,0.000952885122650099,0.008992806,0.0078
Fragment,0.001854533,0.0726679034915195,0.00142165893888195,0.010557071,0.0116
Fragment,0.002125587,0.0753086317329911,0.00142112882650473,0.015029496,0.0114
Fiber,0.001013252,0.160892412530852,0.00493109005723253,0.023337223,0.008
Fiber,0.001115229,0.105991518073727,0.00437479213421286,0.020833333,0.0072
Fiber,0.000953507,0.0264258750482728,0.00170463289421649,0.019379845,0.0026
Fiber,0.001606718,0.0610131429322852,0.00366278779723757,0.022075055,0.0058
Fiber,0.001139708,0.0804426690196195,0.00258949826788682,0.01552795,0.0042
Fiber,0.00127934,0.0906309833697501,0.00459658965593104,0.024479804,0.0074
Fiber,0.001166456,0.0384028262485808,0.00209524788779952,0.015686275,0.0032
Fiber,0.001132822,0.101822681080993,0.00301978571564905,0.019029496,0.0048
Fiber,0.00139375,0.0650769201262723,0.00304719336048922,0.021762786,0.0048
Fiber,0.000849713,0.0530229679737175,0.00141045511717851,0.007996801,0.0022
Fiber,0.001122332,0.143028233943849,0.00430845962924259,0.015686275,0.0072
Fiber,0.001254411,0.0965182890396402,0.00456227477246035,0.024783147,0.0074
Fiber,0.000643719,0.0290840491762431,0.000972887315057889,0.010559662,0.0014
Fiber,0.000943625,0.0200220957343447,0.00119818804917535,0.013333333,0.0018
Fiber,0.00116318,0.119379934430812,0.00595582867896315,0.018796992,0.0098
Fiber,0.001431618,0.0439150290920783,0.00242799662863409,0.017761989,0.0038
Fiber,0.0014051,0.0436389604120962,0.00250223618722897,0.020639835,0.0038
Fiber,0.001228451,0.0385709927742405,0.00192696540430589,0.018198362,0.003
Fiber,0.001204416,0.0840716054670816,0.00350272829722779,0.020408163,0.0058
