ESD,ParticleDensity,CSF,Timestep,Wt,Time,Wt_Meas
0.00725,2164,0.853465142873241,0.0005,0.274641177246483,0.513,0.175
0.00818,2022,0.551316018109339,0.0005,0.287171560310075,0.579,0.174
0.00701,1954,0.677524822688767,0.0005,0.256836191460442,0.5405,0.205
0.00306,937,0.743920778044517,0.0005,0.0660205765246521,0.364,0.0775
0.00634,2367,0.693097716320316,0.0005,0.371222687688588,0.637,0.242
0.00764,2026,0.631121310250253,0.0005,0.306460579065685,0.6165,0.211
0.00624,2367,0.792553892239704,0.0005,0.33636333243436,0.577,0.26
0.00553,3033,0.511630677109995,0.0005,0.385058747906798,0.556,0.299
0.00657,2295,0.643595902934838,0.0005,0.371982692561403,0.656,0.255
0.0102,1500,0.746077134923104,0.0005,0.159250945525371,0.569,0.174
0.00822,1937,0.798029748644951,0.0005,0.331862786807149,0.707,0.217
0.00669,2467,0.688334733303742,0.0005,0.453723325114802,0.7525,0.273
0.00808,2201,0.605792148334829,0.0005,0.421567595895246,0.774,0.239
0.00659,2600,0.601127122699595,0.0005,0.438734748664963,0.699,0.294
0.00399,1020,0.55819577904884,0.0005,0.207760020440852,0.7925,0.0881
0.00823,2098,0.797560917068926,0.0005,0.408390345277131,0.789,0.259
0.0104,1815,0.776899705924871,0.0005,0.472389718255597,1.108,0.223
0.00773,2567,0.502769653223077,0.0005,0.627555403739467,1.0095,0.301
0.00956,2037,0.814516129032258,0.0005,0.487464696633283,0.9745,0.259
0.00481,981,0.703812652976086,0.0005,0.215445027896923,0.9525,0.0857
0.00705,2567,0.707187612385366,0.0005,0.520741737278087,0.8375,0.364
0.00236,1304,0.473631733463005,0.0005,0.189316898290497,0.64,0.09
0.00971,2033,0.717856968658089,0.0005,0.576487116984601,1.1555,0.272
0.00227,1667,0.648102111642099,0.0005,0.281838988383262,0.5935,0.1
0.00396,1140,0.470458415743573,0.0005,0.350857123824387,0.99,0.125
0.00415,1227,0.519597670326078,0.0005,0.394187291837463,0.9645,0.1278
0.00346,1379,0.644743818681906,0.0005,0.445751096172287,0.9185,0.1689
0.00218,1600,0.497154576959904,0.0005,0.337522871773964,0.7525,0.13
0.0104,2310,0.755540362734973,0.0005,0.88306318786,1.5495,0.366
0.00233,1658,0.760204214511597,0.0005,0.370295163599586,0.7855,0.13
0.00488,986,0.680602286827526,0.0005,0.263014975070494,1.1385,0.1322
0.00244,1477,0.714782916204351,0.0005,0.304806871244029,0.775,0.13
0.00429,1260,0.737523420346545,0.0005,0.442950294458225,1.0375,0.1553
0.00218,1889,0.682382780046069,0.0005,0.463866363387169,0.847,0.15
0.0028,1414,0.688582850108405,0.0005,0.282048388592304,0.7815,0.12
0.00264,1763,0.612174838828434,0.0005,0.512861987817241,1.0085,0.14
0.00267,1488,0.748685968837179,0.0005,0.335488700703208,0.8415,0.14
0.00246,1895,0.586588460085413,0.0005,0.499488514944924,0.9095,0.15
0.00453,1209,0.651297069955629,0.0005,0.561244086410306,1.41,0.1771
0.00468,1189,0.645114463191328,0.0005,0.56546846841686,1.465,0.1825
0.00487,1210,0.656570669454759,0.0005,0.55825597173577,1.4005,0.1762
0.00258,1889,0.75,0.0005,0.701299101825405,1.281,0.1633
0.00288,1467,0.739221270954573,0.0005,0.456896718017595,1.177,0.16
0.00391,1277,0.658521623092318,0.0005,0.461377398754429,1.6615,0.12
0.00509,1292,0.864027649327175,0.0005,0.722892892195628,1.629,0.1917
0.00338,2172,0.337572595485915,0.0005,0.911981009220052,1.4765,0.14
0.00271,2114,0.726439367623203,0.0005,0.904966589883109,1.496,0.1786
0.00245,1957,0.697424162875766,0.0005,0.670611900134643,1.184,0.1982
0.00353,1478,0.699835522566721,0.0005,0.607658196530849,1.544,0.14
0.00276,2008,0.699867712367712,0.0005,0.907919074305101,1.567,0.1864
0.00452,1697,0.52919034441969,0.0005,1.10132777054369,1.8395,0.2415
0.00268,2188,0.778648641104386,0.0005,0.907804869215844,1.462,0.2073
