Shape,ESD,CSF,Wt_Calc,Wt_Meas,Time,Distance,timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001572976,0.151910544045107,0.00581280950270769,0.023557126,0.0192,9.41694998387905e-05,0.0002,23.93563716,7.11735582011058,7.602792007,29.3904531105586
Fragment,0.001931166,0.203758372039665,0.00999146521700558,0.028409091,0.0324,0.000274368041612094,0.0002,35.43868486,15.0196315431195,6.41801341,19.8339728125736
Fragment,0.002105099,0.254068514462169,0.0112836692557655,0.033167496,0.0364,0.000348232831054548,0.0002,45.1009592,18.4898489820473,5.132663125,17.4108797871085
Fragment,0.001903886,0.198345794339446,0.00895925971383898,0.030769231,0.029,0.000219930497697214,0.0002,37.84061887,13.2777215869534,5.393905662,21.6924900906396
Fragment,0.003009733,0.194618364326994,0.015468110463421,0.040241449,0.048,0.000629223681928384,0.0002,78.23520109,36.2389600563796,4.985129165,18.7671509916632
Fragment,0.00252976,0.146375397879432,0.00944312058450228,0.035735849,0.0296,0.000236212729475624,0.0002,58.39612919,18.5953924372998,5.31332986,27.112391213674
Fragment,0.003482348,0.155076239361521,0.0152417057433627,0.046082949,0.0464,0.000598522236719022,0.0002,103.6604469,41.3158063641963,4.398324944,22.5120108994313
Fragment,0.002552543,0.15210265891292,0.00918074256948134,0.033900369,0.0288,0.000223478635837684,0.0002,55.89565457,18.2415344659575,5.957441725,27.6079728987513
Fragment,0.00305554,0.139544326572798,0.0130902107048574,0.04,0.0404,0.000447439039131934,0.0002,78.94936371,31.1347298618956,5.122284464,23.7900236171384
Fragment,0.002679545,0.262446090574843,0.0189626793420374,0.0456621,0.0594,0.000955968542184862,0.0002,79.03464949,39.5522548584766,3.447028777,13.4212015082739
Fragment,0.002894656,0.107976997051811,0.0110011235800694,0.038910506,0.034,0.000316209828105507,0.0002,72.75526401,24.7881716235941,5.128127612,28.5955478367795
Fragment,0.002893857,0.156845720807416,0.0119913158408205,0.03649635,0.0374,0.000379499374717434,0.0002,68.22243129,27.0118543969592,5.827387715,23.4326217150403
Fragment,0.002787807,0.184092479996992,0.0133077957932192,0.043103448,0.0414,0.000466595254800573,0.0002,77.62031085,28.8788120082548,4.024707892,20.8332663020875
Fragment,0.002904201,0.246427092654357,0.0159837362923439,0.04784689,0.0494,0.000668829457457071,0.0002,89.75962839,36.1339523659945,3.402631649,16.8874581683226
Fragment,0.001740289,0.254488461543747,0.0115065395139042,0.03327787,0.0372,0.000363069950133022,0.0002,37.4091264,15.6038782087813,4.241101031,15.862282147764
Fragment,0.001925098,0.257537815659095,0.0156295617370872,0.040968577,0.05,0.000663728517282328,0.0002,50.94532483,23.4458556443326,3.095418183,13.1314595326472
Fragment,0.001806142,0.187543972882726,0.010129172983748,0.027390244,0.0328,0.000281666375318446,0.0002,31.95570988,14.2558239475925,6.497232288,19.5296405812926
Fragment,0.001619626,0.214639328769005,0.008630819197244,0.026075619,0.0282,0.0002062926774831,0.0002,27.28035675,10.8926413017312,6.428561056,20.3684639771688
Fragment,0.00167143,0.202405190566132,0.00812660943816343,0.027777778,0.0266,0.00018309337733345,0.0002,29.99067677,10.5843459108812,5.846034733,21.7457532522345
Fragment,0.001826392,0.253169666550495,0.0112025630319198,0.033167496,0.0362,0.00034398455256224,0.0002,39.12977386,15.9432859692946,4.480607591,16.602818536642
Fragment,0.001937634,0.248310434563996,0.0128618612633797,0.03649635,0.0412,0.000449607966545845,0.0002,45.67954529,19.4196773850439,3.925916726,15.5901306429749
Fragment,0.001899524,0.234553828848177,0.0134605639876863,0.035523979,0.0434,0.0004960888918139,0.0002,43.58801544,19.9239060701415,4.062280579,14.872439048124
Fragment,0.002021166,0.195021366732895,0.0114982656710098,0.037243948,0.0368,0.000358789686830783,0.0002,48.62484634,18.1092626021678,3.932409484,18.710377234609
Fragment,0.002182857,0.265850343081488,0.0137221843889166,0.034843206,0.0438,0.000509962934588202,0.0002,49.1296891,23.3407593090363,4.85240821,14.9812669431096
Fragment,0.002329768,0.130855256526302,0.00815407031017815,0.034482759,0.0256,0.000176279835512127,0.0002,51.89377308,14.80313062201,5.287822458,29.9174511625408
Fragment,0.002117852,0.134588424310743,0.00910731214505337,0.029368576,0.029,0.000223589301271101,0.0002,40.1771498,15.0297678632031,6.626711992,25.9462827842965
Fragment,0.002273014,0.16659260114386,0.0108090353237619,0.034467532,0.0342,0.000313194376777047,0.0002,50.60726401,19.1450052758686,5.163568008,22.3090425365802
Fragment,0.002436774,0.199939784530085,0.0112231429319583,0.03968254,0.0354,0.000336547618978413,0.0002,62.46191836,21.3106251339496,4.176231488,21.0903361026623
Fragment,0.002423198,0.134230751103771,0.00991607979977192,0.034013605,0.031,0.000259992541750759,0.0002,53.24051475,18.7238588519471,5.65264693,26.4713351104851
Fragment,0.00226653,0.118843000909657,0.00846788865737799,0.027855153,0.0268,0.000191830823576175,0.0002,40.78192505,14.9555729073691,7.88349308,29.0711991046378
Fragment,0.002482053,0.122707246316342,0.00934044369706383,0.031397174,0.0294,0.000232336334855941,0.0002,50.33872398,18.0652926521225,6.795135721,28.2922000619384
Fragment,0.002614716,0.151271901409957,0.0121530184875672,0.044345898,0.0376,0.000386666107363165,0.0002,74.89943331,24.7613960498888,3.588275612,23.0535882393955
