Shape,ESD,CSF,ASF,Wt,Wt_Meas,Time,Distance,Timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.002021166,0.195021366732895,0.861398256623794,0.0368487451627123,0.037243948,0.144,0.00457725794279842,0.00015,48.62484634,58.0351525877827,3.932409484,1.9774394182865
Fragment,0.002182857,0.265850343081488,1.53470679922147,0.0400092317635621,0.034843206,0.1563,0.00539390648011361,0.00015,49.1296891,68.0537312621319,4.85240821,1.93840926392325
Fragment,0.002329768,0.130855256526302,0.175838658898535,0.046014132497372,0.034482759,0.17985,0.00713837006650915,0.00015,51.89377308,83.5353618384718,5.287822458,1.07557366637096
Fragment,0.002117852,0.134588424310743,0.36725411613889,0.039551058054245,0.029368576,0.1545,0.00527069963624177,0.00015,40.1771498,65.2709835604177,6.626711992,1.52127920619904
Fragment,0.002273014,0.16659260114386,0.421801629304695,0.0450743313878059,0.034467532,0.17625,0.00685309774431536,0.00015,50.60726401,79.8358305230756,5.163568008,1.3227630225228
Fragment,0.002436774,0.199939784530085,0.566326013330937,0.0470062453502053,0.03968254,0.18375,0.00745050150667282,0.00015,62.46191836,89.2559668611382,4.176231488,1.27697042677479
Fragment,0.002423198,0.134230751103771,0.223719400965235,0.0512795956232753,0.034013605,0.2004,0.00886369580450977,0.00015,53.24051475,96.8277716418956,5.65264693,0.997319350318877
Fragment,0.00226653,0.118843000909657,0.504863020727526,0.0394914965083635,0.027855153,0.15435,0.00525809533512776,0.00015,40.78192505,69.7479595149545,7.88349308,1.53154638049871
Fragment,0.002482053,0.122707246316342,0.444130855632315,0.0465099549822715,0.031397174,0.1818,0.00729356998576452,0.00015,50.33872398,89.9546076441637,6.795135721,1.21044181055889
Fragment,0.002614716,0.151271901409957,0.257421661191139,0.0602498787874493,0.044345898,0.23565,0.0122470967023826,0.00015,74.89943331,122.757248509088,3.588275612,0.842134681052012
Fragment,0.00251205,0.163366798250134,0.301980533731879,0.0560266686119061,0.044345898,0.219,0.0105831683564558,0.00015,71.95855078,109.670424056313,3.447384064,0.953470431724311
Fragment,0.002440144,0.143672938321042,0.559483113592912,0.0453554892243007,0.040194093,0.1773,0.0069366109239883,0.00015,63.35463015,86.240597242476,4.07623571,1.31070993692835
Fragment,0.001413932,0.0945662100959202,0.396986441699474,0.00718073896843907,0.00773589,0.0789,0.000475770992179361,0.00015,11.18407026,10.9420682496152,16.68819577,6.76745518269361
